value,swag_score
2c-b,1
303 drum machine,5
3d,4
80s chicago jersey,3
80s detroit jersey,3
90s brick phone,4
90s tracksuit,3
96,4
aboriginal,2
aboriginal flag,2
aboriginal orange,5
aboriginal red,5
abusive,1
acacia,2
acacia sprig,2
acid mibera,3
adam back,5
adderall,4
afraid of women,1
ai weiwei assange,4
aitoshi,2
ak47,5
alcohol,1
alien,2
alien head band,3
all seeing bullas,3
amanita,3
american union,3
anarchist cookbook,3
ancestral trance,3
ancestral trance vortex,5
ancient mead,5
aori,3
apdao ring 1,5
apdao ring 2,5
aphexkitty,3
apple bag,5
arabs for black power,2
arc jersey,3
arundo donax,5
arundo donax sprig,1
ashwagandha,5
ashwagandha sprig,3
aum cult,3
aum doomsday sign,4
aum headwear,3
autism and a gun,1
autism powered,1
autistic fuck,5
ayahuasca,5
ayahuasca bowl,2
ayahuasca dose,2
baby bear,4
baby bera,3
baby bera hockey,4
baby panda bear,4
baby polar bear,4
baby sun bear,4
babybera,4
babybera cloud99 tape,5
babybera jacket,3
babybera janny pack,3
babybera plush,3
babybera recorder,3
babybera x beradrome helmet,4
babybera yeet pipe,2
backwards,2
baddie double blue,1
baddie double gold,3
baddies blue,3
baddies crop,3
baddies pink,3
baggie of pills,5
banana,1
band bear 1,3
bandage,1
bandaid,1
beads,3
bear alchemist tool,1
bear down,2
bear down bears,3
bear mask,4
bearmo,5
beartull,5
bearyphus,5
benadryl,5
bera,4
bera bucket,3
bera flower,2
bera headband,3
bera heart,3
bera nyan,5
bera pudgy plushie,3
bera ski,4
beraborrow,3
berachain mentioned,3
beradoge,4
beradrome 1,3
beradrome 2,4
berahorses bucket,3
berakin,3
beraland,2
beramarket big brain,2
beramilia,3
beramonium,3
berapunk,3
beratone bera,3
beratone plushie,3
berave fan,4
beret,3
bhang,5
bhang cup,3
big 80s,5
bindi,3
bitcoin 1,3
bitcoin 2,4
bitcoin jacket,5
bitcoin popcorn,5
bjork,3
black is beautiful,3
black mask,2
black niqab,5
black ring,2
black scifi,2
black turtleneck,2
black white sunglasses,3
bleeding,3
blue beads,5
blue bow hat,2
blue glow,5
blue glowstick,1
blue meanie,3
blue velvet suit,3
blunt,2
blush,3
bm2c,2
bond bear 1,4
bond bear 2,4
bond bear 3,4
bond bear 4,4
bong bear 1,5
bong bear 10,5
bong bear 100,5
bong bear 101,5
bong bear 11,5
bong bear 12,5
bong bear 13,5
bong bear 14,5
bong bear 15,5
bong bear 16,5
bong bear 17,5
bong bear 18,5
bong bear 19,5
bong bear 2,5
bong bear 20,5
bong bear 21,5
bong bear 22,5
bong bear 23,5
bong bear 24,5
bong bear 25,5
bong bear 26,5
bong bear 27,5
bong bear 28,5
bong bear 29,5
bong bear 3,5
bong bear 30,5
bong bear 31,5
bong bear 32,5
bong bear 33,5
bong bear 34,5
bong bear 35,5
bong bear 36,5
bong bear 37,5
bong bear 38,5
bong bear 39,5
bong bear 4,5
bong bear 40,5
bong bear 41,5
bong bear 42,5
bong bear 43,5
bong bear 44,5
bong bear 45,5
bong bear 46,5
bong bear 47,5
bong bear 48,5
bong bear 49,5
bong bear 5,5
bong bear 50,5
bong bear 51,5
bong bear 52,5
bong bear 53,5
bong bear 54,5
bong bear 55,5
bong bear 56,5
bong bear 57,5
bong bear 58,5
bong bear 59,5
bong bear 6,5
bong bear 60,5
bong bear 61,5
bong bear 62,5
bong bear 63,5
bong bear 64,5
bong bear 65,5
bong bear 66,5
bong bear 67,5
bong bear 68,5
bong bear 69,5
bong bear 7,5
bong bear 70,5
bong bear 71,5
bong bear 72,5
bong bear 73,5
bong bear 74,5
bong bear 75,5
bong bear 76,5
bong bear 77,5
bong bear 78,5
bong bear 79,5
bong bear 8,5
bong bear 80,5
bong bear 81,5
bong bear 82,5
bong bear 83,5
bong bear 84,5
bong bear 85,5
bong bear 86,5
bong bear 87,5
bong bear 88,5
bong bear 89,5
bong bear 9,5
bong bear 90,5
bong bear 91,5
bong bear 92,5
bong bear 93,5
bong bear 94,5
bong bear 95,5
bong bear 96,5
bong bear 97,5
bong bear 98,5
bong bear 99,5
boo bear 1,3
boo bear 2,3
boo bear 3,3
